Demographic information
130 Talbot,70,.15%,93.33%,5,.14%,6.67%,75  .15%
131 Taliaferro,11,.02%,100.00%,,,,11  .02%
132 Tattnall,152,.32%,89.94%,17,.46%,10.06%,169  .33%
133 Taylor,82,.17%,95.35%,4,.11%,4.65%,86  .17%
134 Telfair,110,.23%,92.44%,9,.24%,7.56%,119  .23%
135 Terrell,76,.16%,96.20%,3,.08%,3.80%,79  .15%
136 Thomas,278,.58%,95.21%,14,.38%,4.79%,292  .57%
137 Tift,303,.63%,94.98%,16,.43%,5.02%,319  .62%
138 Toombs,284,.59%,92.21%,24,.65%,7.79%,308  .60%
139 Towns,34,.07%,94.44%,2,.05%,5.56%,36  .07%
140 Treutlen,73,.15%,92.41%,6,.16%,7.59%,79  .15%
141 Troup,557,1.16%,90.86%,56,1.52%,9.14%,613  1.19%
142 Turner,71,.15%,97.26%,2,.05%,2.74%,73  .14%
143 Twiggs,57,.12%,86.36%,9,.24%,13.64%,66  .13%
144 Union,63,.13%,80.77%,15,.41%,19.23%,78  .15%
145 Upson,184,.38%,91.09%,18,.49%,8.91%,202  .39%
146 Walker,348,.73%,92.06%,30,.81%,7.94%,378  .73%
147 Walton,390,.81%,93.08%,29,.79%,6.92%,419  .81%
148 Ware,279,.58%,94.90%,15,.41%,5.10%,294  .57%
149 Warren,43,.09%,93.48%,3,.08%,6.52%,46  .09%
150 Washington,147,.31%,91.88%,13,.35%,8.13%,160  .31%
151 Wayne,178,.37%,89.45%,21,.57%,10.55%,199  .39%
152 Webster,7,.01%,100.00%,,,,7  .01%
"",,Male,,,Female,,Total
Home County,Count,Col %,Row %,Count,Col %,Row %,Total Col %
153 Wheeler,25,.05%,80.65%,6,.16%,19.35%,31  .06%
154 White,91,.19%,88.35%,12,.33%,11.65%,103  .20%
155 Whitfield,542,1.13%,87.28%,79,2.14%,12.72%,621  1.20%
156 Wilcox,58,.12%,85.29%,10,.27%,14.71%,68  .13%
157 Wilkes,72,.15%,96.00%,3,.08%,4.00%,75  .15%
158 Wilkinson,63,.13%,96.92%,2,.05%,3.08%,65  .13%
159 Worth,113,.24%,92.62%,9,.24%,7.38%,122  .24%
160 Unknown,"1,590",3.32%,93.42%,112,3.04%,6.58%,"1,702  3.30%"
Total Rported,"47,858",100%,92.85%,"3,684",100%,7.15%,"51,546  100%"
Not Reported,"1,852",118,"1,970"
Grand Total,"49,710","3,802","53,516"
Mode,(most frequent),Fulton,Fulton,Fulton
"",,Male,,,Female,,Total
Socioeconomic Class,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Welfare,"4,530",9.89%,93.36%,322,9.45%,6.64%,"4,852  9.86%"
2 Occ Employ,"1,533",3.35%,97.89%,33,.97%,2.11%,"1,566  3.18%"
3 Minimum Std,"18,129",39.57%,94.64%,"1,022",30.00%,5.34%,"19,155  38.92%"
4 Middle,"21,618",47.19%,91.42%,"2,030",59.58%,8.58%,"23,648  48.04%"
Total Reported,"45,810",100%,93.07%,"3,407",100%,6.92%,"49,221  100%"
Not Reported,"3,900",395,"4,295"
Grand Total,"49,710","3,802","53,516"
Mode (most frequent),Middle,Middle,Middle
"",,Male,,,Female,,Total
Environment to age 16,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Rural/Farm,"1,789",3.89%,94.81%,98,2.90%,5.19%,"1,887  3.82%"
2 Rural/Nfarm,"2,582",5.61%,87.47%,370,10.93%,12.53%,"2,952  5.97%"
3 S.M.S.A,"15,309",33.27%,95.76%,678,20.04%,4.24%,"15,987  32.36%"
4 Urban,"10,177",22.11%,89.97%,"1,132",33.45%,10.01%,"11,311  22.89%"
5 Small Town,"16,163",35.12%,93.58%,"1,106",32.68%,6.40%,"17,271  34.96%"
Total Reported,"46,020",100%,93.14%,"3,384",100%,6.85%,"49,408  100%"
Not Reported,"3,690",418,"4,108"
Grand Total,"49,710","3,802","53,516"
Mode (most frequent),Small Town,Urban,Small Town
"",,Male,,,Female,,Total
Guardian Status To Age 16,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Orphanage,31,.13%,96.88%,1,.14%,3.13%,32  .13%
2 Father Only,737,3.00%,97.88%,16,2.31%,2.12%,753  2.98%
3 Both Parents,"9,757",39.65%,97.08%,293,42.34%,2.92%,"10,050  39.72%"
4 Mother Only,"10,682",43.41%,98.03%,214,30.92%,1.96%,"10,897  43.07%"
6 Oth Female,624,2.54%,95.85%,27,3.90%,4.15%,651  2.57%
7 Oth Male,99,.40%,97.06%,3,.43%,2.94%,102  .40%
8 Step-Parents,237,.96%,100.00%,,,,237  .94%
9 Foster Home,372,1.51%,96.12%,15,2.17%,3.88%,387  1.53%
10Grand Parents,"2,067",8.40%,94.38%,123,17.77%,5.62%,"2,190  8.66%"
Total Reported,"24,606",100%,97.26%,692,100%,2.74%,"25,299  100%"
Not Reported,"25,104","3,110","28,214"
Grand Total,"49,710","3,802","53,513"
Mode (most frequent),Mother Only,Both Parents,Mother Only
"",,Male,,,Female,,Total
Employment Status,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Full Time,"22,334",51.60%,95.60%,"1,028",48.88%,4.40%,"23,363  51.47%"
2 Part Time,"3,299",7.62%,96.77%,110,5.23%,3.23%,"3,409  7.51%"
3 Unempl < 6m,"4,612",10.65%,96.97%,143,6.80%,3.01%,"4,756  10.48%"
4 Unempl > 6m,"7,792",18.00%,95.31%,382,18.16%,4.67%,"8,175  18.01%"
5 Never Workd,"3,365",7.77%,95.84%,146,6.94%,4.16%,"3,511  7.73%"
6 Student,455,1.05%,85.21%,78,3.71%,14.61%,534  1.18%
7 Incapable,"1,429",3.30%,86.87%,216,10.27%,13.13%,"1,645  3.62%"
Total Reported,"43,286",100%,95.36%,"2,103",100%,4.63%,"45,393  100%"
Not Reported,"6,376","3,801","10,177"
Grand Total,"49,662","5,904","55,570"
Mode (most frequent),Full Time,Full Time,Full Time
"",,Male,,,Female,,Total
Age At Admission,Count,Col %,Row %,Count,Col %,Row %,Total Col %
13,1,0.01%,100.00%,,,,1  0.01%
14,14,0.03%,93.33%,1,0.03%,6.67%,15  0.03%
15,60,0.12%,98.36%,1,0.03%,1.64%,61  0.11%
16,184,0.37%,95.34%,9,0.24%,4.66%,193  0.36%
17,768,1.54%,96.60%,27,0.71%,3.40%,795  1.49%
18,"1,612",3.24%,97.17%,47,1.24%,2.83%,"1,659  3.10%"
19,"2,162",4.35%,96.60%,76,2.00%,3.40%,"2,238  4.18%"
20,"2,143",4.31%,94.41%,127,3.34%,5.59%,"2,270  4.24%"
21,"2,156",4.34%,94.85%,117,3.08%,5.15%,"2,273  4.25%"
22,"2,114",4.25%,95.05%,110,2.89%,4.95%,"2,224  4.16%"
23,"2,078",4.18%,93.69%,140,3.68%,6.31%,"2,218  4.14%"
24,"1,994",4.01%,93.44%,140,3.68%,6.56%,"2,134  3.99%"
25,"1,933",3.89%,93.65%,131,3.45%,6.35%,"2,064  3.86%"
26,"1,825",3.67%,92.92%,139,3.66%,7.08%,"1,964  3.67%"
27,"1,884",3.79%,93.68%,127,3.34%,6.32%,"2,011  3.76%"
28,"1,816",3.65%,93.42%,128,3.37%,6.58%,"1,944  3.63%"
29,"1,736",3.49%,92.10%,149,3.92%,7.90%,"1,885  3.52%"
30,"1,608",3.23%,92.25%,135,3.55%,7.75%,"1,743  3.26%"
31,"1,481",2.98%,92.04%,128,3.37%,7.96%,"1,609  3.01%"
32,"1,369",2.75%,92.69%,108,2.84%,7.31%,"1,477  2.76%"
33,"1,322",2.66%,93.10%,98,2.58%,6.90%,"1,420  2.65%"
34,"1,315",2.65%,92.67%,104,2.74%,7.33%,"1,419  2.65%"
35,"1,267",2.55%,92.21%,107,2.81%,7.79%,"1,374  2.57%"
36,"1,264",2.54%,91.93%,111,2.92%,8.07%,"1,375  2.57%"
37,"1,257",2.53%,92.36%,104,2.74%,7.64%,"1,361  2.54%"
38,"1,151",2.32%,90.70%,118,3.10%,9.30%,"1,269  2.37%"
39,"1,133",2.28%,89.42%,134,3.52%,10.58%,"1,267  2.37%"
40,"1,095",2.20%,91.02%,108,2.84%,8.98%,"1,203  2.25%"
41,"1,028",2.07%,89.31%,123,3.24%,10.69%,"1,151  2.15%"
42,971,1.95%,89.49%,114,3.00%,10.51%,"1,085  2.03%"
43,962,1.94%,90.24%,104,2.74%,9.76%,"1,066  1.99%"
44,921,1.85%,91.10%,90,2.37%,8.90%,"1,011  1.89%"
45,869,1.75%,89.87%,98,2.58%,10.13%,967  1.81%
46,796,1.60%,89.74%,91,2.39%,10.26%,887  1.66%
47,721,1.45%,91.15%,70,1.84%,8.85%,791  1.48%
48,653,1.31%,89.21%,79,2.08%,10.79%,732  1.37%
49,610,1.23%,93.42%,43,1.13%,6.58%,653  1.22%
50,503,1.01%,90.31%,54,1.42%,9.69%,557  1.04%
51,464,0.93%,92.25%,39,1.03%,7.75%,503  0.94%
52,415,0.83%,91.81%,37,0.97%,8.19%,452  0.84%
"",,Male,,,Female,,Total
Age At Admission,Count,Col %,Row %,Count,Col %,Row %,Total Col %
53,342,0.69%,89.30%,41,1.08%,10.70%,383  0.72%
54,262,0.53%,94.58%,15,0.39%,5.42%,277  0.52%
55,277,0.56%,94.22%,17,0.45%,5.78%,294  0.55%
56,199,0.40%,93.87%,13,0.34%,6.13%,212  0.40%
57,165,0.33%,93.22%,12,0.32%,6.78%,177  0.33%
58,137,0.28%,94.48%,8,0.21%,5.52%,145  0.27%
